timeframe,dataset_id,bar_id,session_date,start_timestamp,end_timestamp,completion,actual_duration_minutes,open,high,low,close,volume,source_bar_count
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,e33c7affec50a990e49d145a33d1951345f1ae5e05c886cc4f8f9d52a1752271,2024-06-24,2024-06-24T15:00:00+00:00,2024-06-24T15:05:00+00:00,completed,5,500.18,500.23,500.15,500.2,1018,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,f6332c6c06e4139eefd98a7dd0b0a3c36b856aca3cae73693de01dcf16b02e01,2024-06-24,2024-06-24T15:05:00+00:00,2024-06-24T15:10:00+00:00,completed,5,500.19,500.24,500.16,500.21,1019,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,a415f3bc34aa38bbef392960a9f218821a2ea337e2adee0c8c67fa85076808e1,2024-06-24,2024-06-24T15:10:00+00:00,2024-06-24T15:15:00+00:00,completed,5,500.2,500.25,500.17,500.22,1020,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,451a559f43668a1004d47f09dcbfe4b909988f52b2f6043f2cd46a97bcc84811,2024-06-24,2024-06-24T15:15:00+00:00,2024-06-24T15:20:00+00:00,completed,5,500.21,500.26,500.18,500.23,1021,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,62941b410a29000b1296e45e14c10d2924caec6f2d767d67b6622edd5349bb81,2024-06-24,2024-06-24T15:20:00+00:00,2024-06-24T15:25:00+00:00,completed,5,500.22,500.27,500.19,500.24,1022,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,804fb4394e823a32264607728b768ee815cb1f41fdec6cb1ae0ab6bfead4e9c6,2024-06-24,2024-06-24T15:25:00+00:00,2024-06-24T15:30:00+00:00,completed,5,500.23,500.28,500.2,500.25,1023,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,cd7dcbf3bc3d7958f011f8510f109761ca801e0e604975568fffa5bdaae8909a,2024-06-24,2024-06-24T15:30:00+00:00,2024-06-24T15:35:00+00:00,completed,5,500.24,500.29,500.21,500.26,1024,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,562ccc8faad82a3891252ab75436150c8cde5406d86851ecec186630dcdafbf7,2024-06-24,2024-06-24T15:35:00+00:00,2024-06-24T15:40:00+00:00,completed,5,500.25,500.3,500.22,500.27,1025,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,c7fe45d937be4daa7ec442fcfd297bccb3cf0220e5feae569dc9859f0f25f093,2024-06-24,2024-06-24T15:40:00+00:00,2024-06-24T15:45:00+00:00,completed,5,500.26,500.31,500.23,500.28,1026,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,ab1e941402ace37791118d023477c16b5d65db35945881bcd49b7564cdffa426,2024-06-24,2024-06-24T15:45:00+00:00,2024-06-24T15:50:00+00:00,completed,5,500.27,500.32,500.24,500.29,1027,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,3068b5a5012e2fe5cdca3761f59738fb8cde994981153c9c4e655ba340237ef1,2024-06-24,2024-06-24T15:50:00+00:00,2024-06-24T15:55:00+00:00,completed,5,500.28,500.33,500.25,500.3,1028,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,7329b9b8b1b71edf8cb00da0dc36fe2bb9778f53d38ef877188fe562b0667922,2024-06-24,2024-06-24T15:55:00+00:00,2024-06-24T16:00:00+00:00,completed,5,500.29,500.34,500.26,500.31,1029,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,8400ec61d3051fb39db62a43077d35e94c0b91338d050e8497633d595385fdab,2024-06-24,2024-06-24T16:00:00+00:00,2024-06-24T16:05:00+00:00,completed,5,500.3,500.35,500.27,500.32,1030,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,e19b49bf53492d34fbc0378a57924edb848cb241c926b61f9a12a82670c82128,2024-06-24,2024-06-24T16:05:00+00:00,2024-06-24T16:10:00+00:00,completed,5,500.31,500.36,500.28,500.33,1031,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,044777ccf9086c2a6b0050f976cd50a8aaf8891de497229abc0ac63bb6bef7fc,2024-06-24,2024-06-24T16:10:00+00:00,2024-06-24T16:15:00+00:00,completed,5,500.32,500.37,500.29,500.34,1032,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,f2e73885c0b749f93d2280f8f6933dab18b704f6012938d891314617bde3c1d0,2024-06-24,2024-06-24T16:15:00+00:00,2024-06-24T16:20:00+00:00,completed,5,500.33,500.38,500.3,500.35,1033,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,0901c1078f9d48877bdbb6e63ca04a51f912c0754e7969ce5e1a0ae722e553c9,2024-06-24,2024-06-24T16:20:00+00:00,2024-06-24T16:25:00+00:00,completed,5,500.34,500.39,500.31,500.36,1034,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,7f7da6398e8e83c0f86829e328498dc902d7305518844a36775ec4bfd5a21533,2024-06-24,2024-06-24T16:25:00+00:00,2024-06-24T16:30:00+00:00,completed,5,500.35,500.4,500.32,500.37,1035,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,34b58f82666ea990febd56331afaa6daf9f757419070fca709d1e8c717629538,2024-06-24,2024-06-24T16:30:00+00:00,2024-06-24T16:35:00+00:00,completed,5,500.36,500.41,500.33,500.38,1036,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,91b95fc08af74977b655575f5b47f4095282e11d8167faa19d773de41c5824bd,2024-06-24,2024-06-24T16:35:00+00:00,2024-06-24T16:40:00+00:00,completed,5,500.37,500.42,500.34,500.39,1037,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,da3182a92830d1210991ef1363092868879c3e60b63078380be42aa53c2e2e82,2024-06-24,2024-06-24T16:40:00+00:00,2024-06-24T16:45:00+00:00,completed,5,500.38,500.43,500.35,500.4,1038,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,23ed12a3867a865cacdd3c4f0c1436887fe7f01fe5083fc927bfc4b84cd85c13,2024-06-24,2024-06-24T16:45:00+00:00,2024-06-24T16:50:00+00:00,completed,5,500.39,500.44,500.36,500.41,1039,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,5912c1c0c4249b07d457935550e6b7afe8851c0376db981b27fb03baa28f1781,2024-06-24,2024-06-24T16:50:00+00:00,2024-06-24T16:55:00+00:00,completed,5,500.4,500.45,500.37,500.42,1040,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,1d09b508f680a165767d93f9c96d9674a72b5dad4dde32382106de44b5501299,2024-06-24,2024-06-24T16:55:00+00:00,2024-06-24T17:00:00+00:00,completed,5,500.41,500.46,500.38,500.43,1041,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,9f1e41ffc139f1c270cb00fa19cb088cff568c99d4f7eb7383b0232516d761d9,2024-06-24,2024-06-24T17:00:00+00:00,2024-06-24T17:05:00+00:00,completed,5,500.42,500.47,500.39,500.44,1042,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,0d752f9a9cc5ee77e6d79efad19e7979a9e6c870ae17b71f655cda3cc4d7aef3,2024-06-24,2024-06-24T17:05:00+00:00,2024-06-24T17:10:00+00:00,completed,5,500.43,500.48,500.4,500.45,1043,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,47a4a0db9b52b6621b4318aeecf3072bf8153e6eb8eda082c97d111b77407654,2024-06-24,2024-06-24T17:10:00+00:00,2024-06-24T17:15:00+00:00,completed,5,500.44,500.49,500.41,500.46,1044,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,255d4839f59338c51250e0a0b54709d96ff9921b77010c7183578840be3f7087,2024-06-24,2024-06-24T17:15:00+00:00,2024-06-24T17:20:00+00:00,completed,5,500.45,500.5,500.42,500.47,1045,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,80871d63bc479e273ec28bb1f810caea723c7de34e0a6aa5703a489aa5d2e2b1,2024-06-24,2024-06-24T17:20:00+00:00,2024-06-24T17:25:00+00:00,completed,5,500.46,500.51,500.43,500.48,1046,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,12eb31603b66af688bae4894b6e7a5a115d49790bbb68d1a8fd8a8f40a652a79,2024-06-24,2024-06-24T17:25:00+00:00,2024-06-24T17:30:00+00:00,completed,5,500.47,500.52,500.44,500.49,1047,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,d19446b1153e6f67db0386ab3c55dd18b2940af38a7ce0b164784497c1fbe296,2024-06-24,2024-06-24T17:30:00+00:00,2024-06-24T17:35:00+00:00,completed,5,500.48,500.53,500.45,500.5,1048,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,2d6f1a6b16061940798dc84190c50b608c3ab6a70758e67beaca3b10b0fe0667,2024-06-24,2024-06-24T17:35:00+00:00,2024-06-24T17:40:00+00:00,completed,5,500.49,500.54,500.46,500.51,1049,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,fe196064f9d8bb04768594b524e0bcf0b02fa1d7c120eab952464e7e1e4f004f,2024-06-24,2024-06-24T17:40:00+00:00,2024-06-24T17:45:00+00:00,completed,5,500.5,500.55,500.47,500.52,1050,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,cef2c5e7cb2eea61d79b5177c2db50be215d9cc8b79787f0a3817af3ab4b3b37,2024-06-24,2024-06-24T17:45:00+00:00,2024-06-24T17:50:00+00:00,completed,5,500.51,500.56,500.48,500.53,1051,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,493d147f01f16dd36b498704be3dbf791c06ac82f216dfa51603f954c5779f36,2024-06-24,2024-06-24T17:50:00+00:00,2024-06-24T17:55:00+00:00,completed,5,500.52,500.57,500.49,500.54,1052,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,561bbd257f0a64f9fefc4cc699ffab3b67b039b71b148a43bcc4694b2ab7d939,2024-06-24,2024-06-24T17:55:00+00:00,2024-06-24T18:00:00+00:00,completed,5,500.53,500.58,500.5,500.55,1053,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,3e5c92369f4d45ccbfaed69d594d1daf74a3bb6d43b506c203734acceacaba57,2024-06-24,2024-06-24T18:00:00+00:00,2024-06-24T18:05:00+00:00,completed,5,500.54,500.59,500.51,500.56,1054,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,bc2118a1a3211a4a80174bb0d6698f942f0f8e39d2fb1927416030120b8e1a83,2024-06-24,2024-06-24T18:05:00+00:00,2024-06-24T18:10:00+00:00,completed,5,500.55,500.6,500.52,500.57,1055,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,745537de3dfb794be12a351dccba65b8683209ff09198a2b4a5263ebbdac51f9,2024-06-24,2024-06-24T18:10:00+00:00,2024-06-24T18:15:00+00:00,completed,5,500.56,500.61,500.53,500.58,1056,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,5483e391ae1825b95d9831c1736907c60cc052155ff2b9ead00651f6cca3884a,2024-06-24,2024-06-24T18:15:00+00:00,2024-06-24T18:20:00+00:00,completed,5,500.57,500.62,500.54,500.59,1057,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,4ed28fa60e9549a30c64b35cd6a5d8eb4b2aa27b10b41ee471421b915275d76f,2024-06-24,2024-06-24T18:20:00+00:00,2024-06-24T18:25:00+00:00,completed,5,500.58,500.63,500.55,500.6,1058,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,f8f8e227e6f84c743ae17e47db1124261ebb28ca295245ec820facd434adf113,2024-06-24,2024-06-24T18:25:00+00:00,2024-06-24T18:30:00+00:00,completed,5,500.59,500.64,500.56,500.61,1059,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,451453bc4ba5141dca8d87a257a6ef17121ea41f2e5aa1f048ef54b6a05fef55,2024-06-24,2024-06-24T18:30:00+00:00,2024-06-24T18:35:00+00:00,completed,5,500.6,500.65,500.57,500.62,1060,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,cd3e117c86c8ecb653c8efd5b2dc6b3db8a8a18c52e5c7778701c9397fa2f940,2024-06-24,2024-06-24T18:35:00+00:00,2024-06-24T18:40:00+00:00,completed,5,500.61,500.66,500.58,500.63,1061,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,394a7eab4d68b99a560efd5e0326c946d4e9dd7394ea1df5e20e6fcb29d50d55,2024-06-24,2024-06-24T18:40:00+00:00,2024-06-24T18:45:00+00:00,completed,5,500.62,500.67,500.59,500.64,1062,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,4a3911ef9a1e39d220ed9eefac2d4ce1125a7a03c42e286721484110387f95e2,2024-06-24,2024-06-24T18:45:00+00:00,2024-06-24T18:50:00+00:00,completed,5,500.63,500.68,500.6,500.65,1063,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,02820877588f0683fc21d60a48414dac58f6b973f00ad71a092a09a822d152c8,2024-06-24,2024-06-24T18:50:00+00:00,2024-06-24T18:55:00+00:00,completed,5,500.64,500.69,500.61,500.66,1064,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,7944e70670fd7e667a21f081b1be0b949f6473ddb2ffe8cedf16236189d6cdca,2024-06-24,2024-06-24T18:55:00+00:00,2024-06-24T19:00:00+00:00,completed,5,500.65,500.7,500.62,500.67,1065,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,ba702ebe03a817938c561217b5401ba96fe0d72d5c064aee4cfd90349d75092a,2024-06-24,2024-06-24T19:00:00+00:00,2024-06-24T19:05:00+00:00,completed,5,500.66,500.71,500.63,500.68,1066,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,f72fc619eed77b288574fd8d8463ad5c2b41b91ba4c3a3316f386eceaaa74f0d,2024-06-24,2024-06-24T19:05:00+00:00,2024-06-24T19:10:00+00:00,completed,5,500.67,500.72,500.64,500.69,1067,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,06c275b2bf1538de7b586d564ee36ac560d82b80a5548597f269910014646fa6,2024-06-24,2024-06-24T19:10:00+00:00,2024-06-24T19:15:00+00:00,completed,5,500.68,500.73,500.65,500.7,1068,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,d92a9adfd3badc073ea2b87e3ab0e216114135ad2fc2dbf9f393df10706ea87d,2024-06-24,2024-06-24T19:15:00+00:00,2024-06-24T19:20:00+00:00,completed,5,500.69,500.74,500.66,500.71,1069,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,b2af16a6f19cdd7a19e97a1689a2699484bc11a4bd37abd5089cfdff63f8dd96,2024-06-24,2024-06-24T19:20:00+00:00,2024-06-24T19:25:00+00:00,completed,5,500.7,500.75,500.67,500.72,1070,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,5e3e2aadf1a36602dc11015447ea9b631d660966ee23f6bcf670e913260b2579,2024-06-24,2024-06-24T19:25:00+00:00,2024-06-24T19:30:00+00:00,completed,5,500.71,500.76,500.68,500.73,1071,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,d1756b3e1b08f6868db82e17ba2ab8a6551c031f3153e6dc218f57154ba756d0,2024-06-24,2024-06-24T19:30:00+00:00,2024-06-24T19:35:00+00:00,completed,5,500.72,500.77,500.69,500.74,1072,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,a52b9712d38d3b556e58f134ffd17cf49bfbc81b1b01bd73f55ef63a5d07f3c7,2024-06-24,2024-06-24T19:35:00+00:00,2024-06-24T19:40:00+00:00,completed,5,500.73,500.78,500.7,500.75,1073,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,f45cbff2d98e38542d626efe091b9efb59755c5c2963320081eb897ab82cea1c,2024-06-24,2024-06-24T19:40:00+00:00,2024-06-24T19:45:00+00:00,completed,5,500.74,500.79,500.71,500.76,1074,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,f593198f3588308e41449301b4c482fab453c48125797348c5c5a97dd7a6b681,2024-06-24,2024-06-24T19:45:00+00:00,2024-06-24T19:50:00+00:00,completed,5,500.75,500.8,500.72,500.77,1075,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,741e5496073c4e8c9f8b637a7aea86e74f9a54e7077c2f58ff90ee8ea5a40cda,2024-06-24,2024-06-24T19:50:00+00:00,2024-06-24T19:55:00+00:00,completed,5,500.76,500.81,500.73,500.78,1076,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,2f7eff8a65c499f47bf7c8d2cc04178ac3a605df4b94d138d35987f6ad968a62,2024-06-24,2024-06-24T19:55:00+00:00,2024-06-24T20:00:00+00:00,completed,5,500.77,500.82,500.74,500.79,1077,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,f0d335deb0559a69e91c78a04f4fd4c1b434e547f09fe0aee6169f871641656e,2024-06-25,2024-06-25T13:30:00+00:00,2024-06-25T13:35:00+00:00,completed,5,500.78,500.83,500.75,500.8,1078,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,4a03a5e907f06c443187672c2c01a6e94cc505ed9f5bb3f9552578f8677a29d9,2024-06-25,2024-06-25T13:35:00+00:00,2024-06-25T13:40:00+00:00,completed,5,500.79,500.84,500.76,500.81,1079,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,5c9832f9a0c1abbfe41aa758a086429adf5bd1cbce2c64724e165e029f5e419e,2024-06-25,2024-06-25T13:40:00+00:00,2024-06-25T13:45:00+00:00,completed,5,500.8,500.85,500.77,500.82,1080,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,0a0c016c2663e2cbbdebc25d3143637ab3981d004f9c801d06ffe6a475b168df,2024-06-25,2024-06-25T13:45:00+00:00,2024-06-25T13:50:00+00:00,completed,5,500.81,500.86,500.78,500.83,1081,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,29991fc3ca8adc27d44ad69aaf174f61ebea78431caa426504b0e34a6ab091f7,2024-06-25,2024-06-25T13:50:00+00:00,2024-06-25T13:55:00+00:00,completed,5,500.82,500.87,500.79,500.84,1082,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,1dcef23363931cbb862e48d49733c5cab8a655cb057146180d8bf2075d56284a,2024-06-25,2024-06-25T13:55:00+00:00,2024-06-25T14:00:00+00:00,completed,5,500.83,500.88,500.8,500.85,1083,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,25ca3337cd7e9f4fb44084f1947d6deb5163cf9d0ee4e7a72971b43d802e59ea,2024-06-25,2024-06-25T14:00:00+00:00,2024-06-25T14:05:00+00:00,completed,5,500.84,500.89,500.81,500.86,1084,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,5d1c9935bfc3d5f2a2047504e03af2a742f6885e64ae51642b3135c20a37f756,2024-06-25,2024-06-25T14:05:00+00:00,2024-06-25T14:10:00+00:00,completed,5,500.85,500.9,500.82,500.87,1085,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,e93226fb17075835ba3938e5c8996fb45fdac917e94dfe4aa933983427f93bbf,2024-06-25,2024-06-25T14:10:00+00:00,2024-06-25T14:15:00+00:00,completed,5,500.86,500.91,500.83,500.88,1086,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,163f961a0ae7e9e1f6878e64156665ae08d70af98c6cf376f7d24504821d3e9c,2024-06-25,2024-06-25T14:15:00+00:00,2024-06-25T14:20:00+00:00,completed,5,500.87,500.92,500.84,500.89,1087,1
5m,bbd21df977755393ba8f7c800d26a0bbe67ca6f60788c9226bde3d6828bc5795,bdb79e35e69a86e45288b865a086c8f3bbf4feaf9843ae83813889e6dd93713b,2024-06-25,2024-06-25T14:20:00+00:00,2024-06-25T14:25:00+00:00,completed,5,500.88,500.93,500.85,500.9,1088,1
